county,lon,lat
Snohomish,-122.0981847,47.91287560000001
Cook,-93.0731852,44.9751402
Orange,-117.8531007,33.7879139
Maricopa,-112.4291464,33.2917968
Los Angeles,-118.2436849,34.0522342
Santa Clara,-121.9552356,37.3541079
Suffolk,-76.5835621,36.7282054
San Francisco,-122.4194155,37.7749295
Dane,-89.5015088,43.2505472
San Diego,-117.1610838,32.715738
Bexar,-98.5721016,29.4200763
Douglas,-91.75768889999999,46.3490012
Humboldt,-123.8695086,40.7450055
Sacramento,-121.4943996,38.5815719
Solano,-121.9017954,38.3104969
Spokane,-117.4260465,47.6587802
Salt Lake,-111.8910474,40.7607793
Marin,-122.7633036,38.083403
Napa,-95.9373265,36.7567292
Sonoma,-122.4580356,38.291859
Washington,-120.7401385,47.7510741
King,-121.9836029,47.5480339
Alameda,-122.2821855,37.7798721
Hillsborough,-82.3017728,27.9903597
Manatee,-82.34518899999999,27.4799195
New York City,-74.0059728,40.7127753
Unknown,-80.8575444,35.2205194
Placer,-120.8039474,39.0915751
San Mateo,-122.3255254,37.5629917
Fulton,-84.3962535,33.8033965
Norfolk,-76.28587259999999,36.8507689
Grafton,-71.6856236,42.2070391
Walla Walla,-118.3430208,46.0645809
Contra Costa,-121.9017954,37.8534093
Wake,-80.2791958,36.1355052
Bergen,-74.07701,40.9262762
Westchester,-73.7948516,41.1220194
Fort Bend,-95.81428849999999,29.5692614
Chelan,-120.0168079,47.8408323
Jefferson,-95.76257129999999,37.1095843
Santa Rosa,-122.7140548,38.440429
Montgomery,-86.3077368,32.3792233
Middlesex,-71.2874209,42.467206
Clark,-74.3127631,40.6278031
Washoe,-119.6035495,40.5608387
Nassau,-77.3503609,25.0443312
Williamson,-77.1861277,43.2239229
Harris,-95.3102505,29.7751825
Pinal,-111.2845025,32.8162061
Yolo,-80.1397279,26.1196393
Denver,-104.990251,39.7392358
Eagle,-95.97388889999999,36.1563889
El Paso,-106.4850217,31.7618778
Broward,-80.365865,26.190096
Lee,-83.30042159999999,30.4196584
Polk,-81.6911559,27.8617347
Honolulu,-157.8583333,21.3069444
Marion,-82.00927449999999,35.6840131
Fayette,-87.8308522,33.6845539
Ramsey,-74.1409771,41.0573188
Camden,-75.1196199,39.9259463
Rockland,-73.98300290000002,41.1489458
Chatham,-69.95976639999999,41.6820897
Tulsa,-95.99277500000001,36.1539816
Delaware,-75.52766989999999,38.9108325
Wayne,-74.2765441,40.92537249999999
Charleston,-79.93105120000001,32.7764749
Kershaw,-80.5836836,34.5518201
Davis,-121.7405167,38.5449065
Pierce,-118.5790603,34.1844981
Fresno,-119.7871247,36.7377981
Madera,-120.0607176,36.9613356
Riverside,-117.3754942,33.9806005
Santa Cruz,-122.0307963,36.9741171
District of Columbia,-77.0368707,38.9071923
Charlotte,-80.8431267,35.2270869
Okaloosa,-86.6611083,30.57734009999999
Volusia,-81.0754657,29.0279842
Cobb,-97.7222616,30.3786341
Gwinnett,-84.01674229999999,33.9190653
Johnson,-95.991851,36.294711
Berkshire,-1.1853677,51.4669939
St. Louis,-90.19940419999999,38.6270025
Rockingham,-79.7739457,34.9393201
Saratoga,-73.6300729,43.0448483
Jackson,-90.1848103,32.2987573
Klamath,-124.0384069,41.5265092
Bennington,-73.1967741,42.8781345
Fairfax,-77.30637329999999,38.84622359999999
Kittitas,-120.931941,47.17495479999999
Fairfield,-73.2612615,41.1408363
Cherokee,-95.62580729999999,36.9825777
Hendricks,-94.5784111,38.9560542
Harrison,-74.1562551,40.7464901
Harford,-76.3637285,39.5838964
Worcester,-71.8022934,42.2625932
Carver,-95.9851291,36.1759479
Passaic,-74.1284764,40.8567662
Ulster,-6.9612273,54.7616555
Spartanburg,-81.9320482,34.9495672
Davidson,-80.8446725,35.5008018
Shelby,-81.5356463,35.2923513
Kitsap,-122.6412583,47.6476607
Pima,-106.5780424,35.1041349
Shasta,-122.4907566,40.598119
Arapahoe,-104.332644,39.62031
Larimer,-105.5943388,40.6955572
DeKalb,-88.75036469999999,41.9294736
Floyd,-83.0359166,42.3490538
Noble,-95.97794999999999,36.7519895
Pottawattamie,-95.4777811,41.3911501
Prince George's,-76.8720961,38.78492110000001
Hudson,-73.790959,42.2528649
Monmouth,-90.64735759999999,40.9114271
Union,-95.620221,37.034684
Cuyahoga,-81.67582,41.433923
Monroe,-83.3977101,41.9164343
Collin,-96.49297969999999,33.1795213
Virginia Beach city,-75.97798499999999,36.8529263
San Joaquin,-121.1710389,37.9175935
Ventura,-119.2945199,34.2804923
Gunnison,-106.9253207,38.5458246
Alachua,-82.49442260000001,29.7938144
Collier,-81.42789839999999,26.069985
Pasco,-119.0922316,46.2305049
Pinellas,-82.7778579,27.876394
Charlton,-71.970074,42.13565
Kane,-74.045,40.2366667
McHenry,-88.2667534,42.333355
Adams,-111.9256071,41.09492290000001
Boone,-81.6745517,36.216795
Orleans,1.909251,47.902964
Essex,-70.7829315,42.63195820000001
Oakland,-122.2711639,37.8043514
Anoka,-93.3871758,45.1977428
Burlington,-95.91991159999999,36.135688
Multnomah,-122.5863211,45.5145659
Philadelphia,-75.1652215,39.9525839
Beadle,-99.12394499999999,45.0351261
Charles Mix,-98.3964938,43.0985109
Davison,-83.5180063,43.0347491
Minnehaha,-93.21100059999999,44.9153307
Sullivan,-94.212857,36.3545045
Dallas,-96.79698789999999,32.7766642
Tarrant,-97.35165579999999,32.7732044
Weber,-95.97547960000001,36.1071562
Loudoun,-77.6536125,39.076767
Skagit,-121.7114362,48.4241961
Whatcom,-122.4938545,48.7952623
Stanislaus,-120.9876321,37.5090711
Pitkin,-106.8178377,39.159101
New Castle,-75.5668166,39.6620397
Miami-Dade,-80.6326916,25.5516034
St. Johns,-95.97999569999999,36.7451602
Bartow,-81.8431374,27.8964147
Lowndes,-81.369722,28.544795
